"ABEV3","BBSE3","BRML3","BBDC3","BBDC4","BRAP4","BBAS3","BRKM5","BRFS3","CCRO3","CMIG4","CIEL3","CPLE6","CSAN3","CPFE3","CYRE3","ECOR3","ELET3","ELET6","EMBR3","ENBR3","EGIE3","EQTL3","GGBR4","GOAU4","HYPE3","ITSA4","ITUB4","JBSS3","KLBN11","RENT3","LREN3","MRFG3","MRVE3","MULT3","PETR3","PETR4","QUAL3","RADL3","RAIL3","SBSP3","SANB11","CSNA3","TAEE11","UGPA3","USIM5","VALE3","WEGE3","I"
15.901463,17.93471,9.25134,10.166516,9.504159,2.754864,13.104125,15.538459,51.455513,11.317782,2.816934,17.720196,1.511117,5.78623,11.64708,6.599555,4.677934,5.349092,7.69748,22.396482,8.476584,18.472557,6.870246,3.691302,1.181378,20.868628,4.465832,14.871165,8.703061,16.734219,7.608867,15.008287,5.088673,6.863782,15.072997,5.264603,3.636271,10.052476,8.812161,3.096613,19.396046,12.234957,5.877976,9.106681,29.806187,1.155675,11.018349,4.749142,49085
15.951387,17.909206,9.404004,9.989614,9.235834,3.00392,13.111302,15.798673,52.116085,11.278072,2.781074,17.450947,1.52284,5.715221,11.56144,6.74148,4.764562,5.158052,7.486203,23.279911,8.496284,18.522955,6.826852,3.895936,1.231195,20.668737,4.410768,14.804752,8.783052,16.774063,7.817524,15.287985,5.072943,6.762097,15.049354,5.227678,3.711817,10.337705,8.844339,3.086624,19.353605,12.151156,6.398908,8.920433,29.721207,1.240651,11.704084,4.828698,49246
15.851532,18.840052,9.361258,10.115969,9.281734,2.69387,14.540196,15.123354,51.711857,11.532227,2.836855,17.700245,1.570289,5.705077,11.712955,6.869214,4.755899,5.388891,7.669309,22.959549,8.535679,18.976578,6.908433,3.793618,1.245428,20.780676,4.56495,15.136806,8.943035,16.566879,7.789702,15.310068,4.947103,6.971823,15.013885,5.090523,3.762181,10.073347,8.963604,3.376307,19.43,12.032442,5.528098,8.797898,29.46179,1.317129,10.006392,5.032774,49102
15.518692,18.993071,9.379577,10.065422,8.861603,2.541388,14.576095,15.055206,52.747078,11.293956,2.793027,17.406071,1.498278,5.749712,12.259736,6.847923,4.773224,5.500331,7.683394,22.736263,8.640735,18.850574,6.915377,3.856583,1.330829,21.02055,4.454818,14.633984,9.494974,16.160475,7.761885,15.449925,4.915643,7.022666,15.129152,5.043046,3.827654,10.163784,8.921955,3.695957,19.345119,11.836903,5.302619,8.915526,29.426014,1.631541,9.653537,4.797567,48665
15.502051,20.357458,9.629941,10.393961,9.126387,2.52614,15.437741,15.086183,52.9837,11.754611,2.848809,17.785013,1.464785,5.830865,12.411256,7.373051,4.981132,5.69137,7.810159,21.31889,8.778617,18.769934,7.029939,4.226501,1.530097,21.428324,4.620015,15.207962,9.798943,15.865634,7.700679,15.65602,5.041483,7.092575,15.26806,5.174926,4.003927,9.322021,9.152908,3.805837,19.48093,11.732151,5.69915,8.915526,29.873281,1.792996,9.320659,4.759519,49571
15.160891,20.013174,9.465067,10.791092,9.451197,2.627795,16.407085,14.906512,51.87302,11.500457,3.067947,16.837677,1.59541,5.832893,12.351964,7.273703,4.712584,5.818729,7.817203,21.843121,8.758921,18.694324,7.047296,4.037606,1.466047,21.700176,4.702616,15.336031,9.430981,16.001101,7.564358,15.273268,5.159458,7.092575,15.146885,5.32263,4.074437,9.628115,9.092329,3.55611,19.48093,11.592481,5.489221,8.783195,29.864328,1.716517,9.23411,4.711093,49639
15.011113,19.534998,9.465067,10.711663,9.391176,2.556636,16.009216,15.835843,51.922424,11.452804,2.908574,16.72073,1.563032,5.849124,12.167508,7.18145,4.799212,5.65157,7.732692,21.872248,8.588205,18.422152,6.78693,4.155665,1.430463,21.476299,4.669575,15.264881,9.406983,15.953292,7.603306,15.368954,5.253839,6.882845,14.954778,5.032496,3.726926,9.085493,9.016613,3.266427,19.141394,11.606452,5.38037,8.974346,29.479681,1.572058,8.947831,4.669585,48867
15.227454,17.596798,8.689543,10.12319,8.896909,2.52614,12.619879,15.903996,51.774216,11.07157,2.749199,16.695585,1.420685,5.784202,11.554852,6.670517,4.634619,5.221733,7.324225,22.736263,8.286174,18.205421,6.771307,3.738525,1.160028,21.316381,4.399753,14.586541,8.663065,16.264069,7.472551,15.214389,5.112268,6.914624,14.582383,4.700161,3.329051,8.786353,8.850021,2.876853,18.980116,11.110627,4.719487,8.822406,29.604914,1.325627,8.974462,4.669585,47130
15.219137,17.711559,8.946015,9.859639,8.699194,2.683705,13.045351,15.767691,52.258362,11.057945,2.753184,16.856503,1.434641,5.824778,11.969877,7.06791,4.885841,5.213772,7.366481,22.736263,8.51598,18.286066,6.825115,3.935289,1.252545,21.260414,4.289622,14.154882,9.063023,16.949377,7.606088,15.397338,5.308894,7.378564,14.514411,5.064148,3.641307,9.252453,8.83109,3.106602,19.183838,11.438848,5.217094,8.851815,29.676476,1.470087,9.866583,4.769896,47763
15.585262,19.643385,9.691008,11.051032,9.832494,2.897182,14.920307,16.560726,53.641647,11.649757,3.008183,17.651051,1.537354,6.147362,12.74723,7.784635,5.301657,5.75505,7.810159,22.017866,8.653866,18.870735,6.918848,4.320947,1.39488,21.58024,4.730147,15.701296,9.598963,16.853746,7.942714,16.231421,5.426869,7.531093,15.220771,5.507261,4.079473,9.544636,9.222954,3.386296,19.625235,12.437477,6.165655,9.292933,31.022768,1.623043,10.3193,4.939385,50914
15.327309,19.63063,9.648261,11.051032,9.701866,2.993755,14.682331,16.616486,53.453911,11.674077,3.067947,17.736542,1.561358,6.169679,12.74723,7.876887,5.197704,5.57197,7.767904,22.085823,8.470019,18.815292,7.012581,4.604288,1.508747,22.059978,4.724642,15.743991,9.558968,17.252184,8.229264,15.936172,5.285299,7.696332,15.421746,5.433409,4.089546,9.614203,9.565596,3.426252,19.650698,11.941653,6.15788,9.278231,30.503935,1.623043,10.20612,4.980892,50815
15.585262,19.668886,9.660475,11.282089,9.864266,3.014086,14.927515,17.037786,54.649464,11.820004,3.147635,17.651051,1.696449,6.218371,12.648411,7.841407,5.327646,5.75505,7.817203,22.377066,8.798316,19.253798,7.016053,4.604288,1.473164,22.55571,4.785213,15.748728,9.270998,17.323902,8.259867,16.150225,5.379679,7.613712,15.38037,5.407032,4.059328,9.426372,9.806012,3.416263,19.735584,12.116241,6.142331,9.523295,30.615744,1.657034,10.086283,5.053529,51172
